player_name,id,Pos,last_season,seasons_played,matches_played
Hernán Lamberti,18363,MF,2021,1,45
Matias Pérez Garcia,18382,MF,2021,1,8
Diego Valeri,18384,"MF,FW",2022,1,9
Mauro Zarate,18506,"MF,FW",2022,1,20
Jose Sosa,18518,MF,2024,3,65
Federico Vismara,18519,MF,2022,2,17
Lucas Barrios,18576,FW,2022,2,21
Emiliano Papa,18610,DF,2021,1,23
Marco Ruben,18628,FW,2024,2,58
José Sand,18653,FW,2023,3,88
Cristian David Lucchetti,18657,GK,2021,1,38
Enrique Bologna,18702,GK,2024,4,55
Jesus Datolo,18705,MF,2022,2,48
Dario Cvitanich,18734,"MF,FW",2021,1,30
Mauro Boselli,18859,FW,2023,2,64
Ignacio Scocco,18928,FW,2021,1,21
Jorge De Olivera,18957,GK,2022,2,26
Sebastián Prediger,18978,MF,2023,2,67
Martin Ojeda,20521,"MF,FW",2022,2,77
Cristián Zapata,24970,DF,2022,2,50
Ignacio Piatti,26349,MF,2021,1,10
Emiliano Vecchio,26432,MF,2022,2,54
Lisandro Lopez,30536,DF,2024,4,127
Fabricio Coloccini,30929,DF,2021,1,20
José Paolo Guerrero,33101,FW,2023,1,15
Maxi Rodriguez,33632,"FW,MF",2021,1,13
Santiago Silva,36158,FW,2023,2,49
Gonzalo Bergessio,37273,FW,2022,1,14
Carlos Tevez,38817,FW,2021,1,12
Mariano Andujar,39415,GK,2023,3,115
Enzo Pérez,40148,"MF,DF",2024,4,130
Gabriel Hauche,41018,FW,2024,4,116
Nicolas Domingo,41026,MF,2022,2,47
Nicolas Bertolo,45457,"MF,FW",2023,3,52
Leandro Grimi,46212,DF,2021,1,14
Lautaro Acosta,46295,MF,2024,4,104
Pablo Piatti,46384,"MF,FW",2024,3,50
Matias Suarez,46552,FW,2024,4,48
Emiliano Insua,47547,DF,2023,3,72
Édinson Cavani,49677,FW,2024,1,35
Franco Di Santo,49825,FW,2021,1,19
Jaime Ayovi,52564,FW,2021,1,17
Leonardo Burian,56626,GK,2023,3,88
Sebastián Sosa,56648,GK,2024,4,229
Diego Godin,56678,DF,2023,2,19
Carlos Sánchez,56972,"MF,DF",2024,2,52
Sebastian Ribas,57003,FW,2022,2,19
Cristian Baez,68512,DF,2023,2,77
Nestor Ortigoza,70349,MF,2022,2,46
Mauro Bogado,70352,MF,2022,2,44
Paolo Duva Goltz,103816,DF,2023,3,83
Carlos Zambrano,106309,DF,2022,2,23
Éver Banega,108568,MF,2024,1,30
Sergio Romero,109060,GK,2024,2,59
Mauricio Isla,109298,"DF,MF",2024,2,26
Cristopher Toselli,112562,GK,2022,1,14
Mauro Dos Santos,113311,DF,2021,1,10
Facundo Roncaglia,113318,DF,2024,3,38
Marcelo Barovero,113577,GK,2024,1,14
Leonardo German Sigali,113611,DF,2024,4,106
Carlos Quintana,113615,DF,2024,4,101
Lucas Hoyos,113620,GK,2024,4,116
Miguel Angel Torren,113622,DF,2024,4,105
Diego Braghieri,113730,DF,2023,3,24
Lucas Pratto,113769,MF,2023,3,72
Jonathan Cristaldo,113792,"FW,MF",2021,1,13
Claudio Yacob,113968,MF,2022,2,33
Bruno Bianchi,114341,DF,2024,4,111
Jonathan Sandoval,115329,"MF,DF",2022,2,14
Fernando Tobio,115671,DF,2024,4,97
Martin Cauteruccio,115871,FW,2023,3,99
Federico Mancinelli,116730,DF,2021,1,14
Cristian Colman,118767,FW,2024,3,68
Cristian Menendez,127623,FW,2023,3,73
Luciano Aued,127742,MF,2023,1,18
Franco Jara,129326,"FW,MF",2024,2,40
Pablo De Blasis,130118,"MF,FW",2024,1,47
Emmanuel Mas,131619,MF,2024,1,78
Dylan Gissi,139635,DF,2022,2,26
Carlos Lampe,141762,GK,2022,2,25
Marcos Guillermo Diaz,146753,GK,2021,1,46
Fernando Monetti,146756,GK,2022,1,55
Jonathan Schunke,146776,DF,2021,1,11
Hernán Galindez,146801,GK,2024,1,38
Damian Perez,147564,DF,2024,4,111
Juan Manuel Insaurralde,147620,DF,2024,4,164
Andres Rios,149044,FW,2023,2,21
Eduardo Salvio,150093,"FW,MF",2024,3,39
Diego Polenta,150397,DF,2022,1,30
Bruno Urribarri,150655,DF,2021,1,6
Jonathan Gomez,150701,"MF,DF",2024,1,14
Federico Fernández,155050,DF,2024,2,18
Iván Marcone,157868,MF,2024,3,88
Gonzalo Marinelli,158787,GK,2024,3,75
Fernando Meza,158897,DF,2024,2,17
Ismael Quilez,161024,DF,2022,2,37
Marcos Rojo,161035,"DF,MF",2024,3,76
Federico Mancuello,161344,MF,2024,2,75
Josue Ayala,161846,GK,2022,1,11
Dario Benedetto,163766,FW,2023,2,67
Ezequiel Munoz,164029,DF,2024,2,48
Nicolás Gaitán,164031,MF,2024,1,16
Ciro Rius,164681,MF,2023,3,80
Hector Canteros,164722,MF,2022,2,38
Brian Lluy,166073,DF,2021,1,13
Guillermo Burdisso,166510,DF,2024,2,27
Wilson Morelo,166863,"FW,MF",2021,1,13
Nicolas Mazzola,167093,FW,2021,1,15
Ruben Botta,168390,MF,2024,1,48
Gaston Sauro,169806,DF,2024,3,54
Mariano Bittolo,170431,DF,2023,3,57
Victor Ayala,172191,MF,2021,1,10
Lucas Orban,173427,DF,2022,2,12
Milton Casco,174813,"DF,MF",2024,4,108
Leonardo Jara,175357,DF,2024,4,64
Edwin Cardona,177507,"MF,FW",2023,3,47
Iker Muniain,179772,MF,2024,1,13
Lucas Kruspzky,182162,DF,2022,2,36
Luis Miguel Rodriguez,182301,"FW,MF",2024,4,104
Leandro Benegas,183543,FW,2022,1,32
Diego Rodriguez,186986,MF,2021,1,13
Santiago Vergini,188540,DF,2021,1,12
Luis Advincula,190522,DF,2024,4,104
Nicolas Penailillo,193249,"DF,MF",2022,2,12
Eugenio Mena,193710,DF,2022,2,55
Matias Pisano,193928,"FW,MF",2022,1,38
Bruno Zuculini,193937,"MF,DF",2024,4,79
Rafael Perez,196893,DF,2023,3,106
Emanuel Olivera,197456,DF,2023,1,16
Nahuel Iribarren,197573,DF,2021,1,12
Leandro Diaz,198056,FW,2024,4,121
Emiliano Mendez,202628,"MF,DF",2024,4,101
Facundo Curuchet,202704,MF,2021,1,30
Matias Aguirregaray,202790,"DF,MF",2021,1,16
Franco Armani,206758,MF,2024,1,149
Jorge Benitez,206856,FW,2023,2,39
Yeison Gordillo,206973,MF,2023,2,62
Juan Quintero,207617,MF,2024,2,69
Pier Barrios,208670,DF,2024,3,93
Emanuel Aguilera,209273,DF,2024,2,52
Lucas Rodriguez,209304,DF,2024,4,89
Matias Laba,209306,MF,2023,2,15
Claudio Corvalan,209518,DF,2024,4,137
Francisco Cerro,209540,MF,2022,2,49
Enzo Kalinski,209541,MF,2023,3,69
Cristian Lema,209568,DF,2024,4,121
Manuel Lanzini,210276,DF,2022,1,50
Javier Cabrera,210469,MF,2023,3,103
Gabriel Arias,210706,DF,2024,3,139
Carlos Roberto Izquierdoz,210726,DF,2024,3,68
Franco Mussis,211111,MF,2021,1,16
Luis Leal,211821,FW,2023,1,17
Oliver Paz Benitez,212578,DF,2021,1,23
Carlos Auzqui,213052,MF,2021,1,41
Silvio Romero,213106,FW,2024,2,61
Mauro Quiroga,213720,FW,2023,1,19
Ramiro Funes Mori,213878,DF,2024,2,13
Gonzalo Castellani,213922,MF,2023,1,11
Ignacio Fernandez,229816,"MF,FW",2024,2,69
Gino Peruzzi,230476,DF,2024,2,24
Juan Sánchez Mino,239981,MF,2023,3,81
Brahian Aleman,245345,MF,2023,3,113
Alan Aguerre,246172,GK,2024,3,54
Gabriel Graciani,246350,MF,2023,2,72
Lucas Ariel Menossi,246408,MF,2024,3,86
Facundo Tomas Quignon,246409,MF,2024,1,35
Luciano Andres Abecasis,246553,DF,2024,2,45
Leandro Gonzalez Pirez,256609,DF,2024,3,77
Juan Fernando Garro,257868,"FW,MF",2023,3,71
Alan Ruiz,263707,"FW,MF",2021,1,23
Angel Romero,265996,"FW,MF",2021,1,12
Diego Zabala,267066,DF,2024,1,35
Matias Garcia,267200,MF,2024,2,19
Guido Carrillo,267894,FW,2024,2,49
Brian Abel Luciatti,270320,DF,2024,3,99
Andres Chavez,270322,FW,2023,2,30
Luciano Lollo,270771,DF,2024,4,112
Cesar Rigamonti,270775,GK,2022,2,35
Oscar Romero,274528,MF,2023,3,65
Frank Fabra,279016,DF,2024,4,103
Pablo Magnin,279769,"FW,MF",2022,1,15
Andrés Desábato,279889,GK,2023,1,35
Baldomero Perlaza,281545,MF,2023,2,48
Miguel Borja,281995,FW,2024,3,85
Geronimo Poblete,288213,MF,2022,2,26
Francisco Pizzini,288759,MF,2024,3,184
Franco Fragapane,290692,MF,2021,1,13
Mauro Angel Maidana,291802,DF,2024,1,9
Guillermo Luis Ortiz,298025,DF,2023,3,76
Ezequiel Parnisari,299516,DF,2023,1,14
Gabriel Hachen,299645,MF,2024,3,73
Gonzalo Bettini,300765,"DF,MF",2023,3,101
Felipe Campos,304363,DF,2021,1,17
Leandro Fernández,306126,DF,2024,1,43
Federico Lértora,306127,MF,2022,2,55
Ignacio Arce,306529,GK,2024,2,44
Guillermo Fernandez,309693,MF,2024,3,99
Haibrany Ruiz Diaz,310085,DF,2022,1,8
Gaston Gil Romero,310373,MF,2024,3,65
Gustavo Fernandez,310447,FW,2024,1,8
Juan Cavallaro,311684,FW,2024,2,17
Lautaro Gianetti,315235,DF,2023,2,71
Bruno Valdez,315632,DF,2023,1,33
Erik Fernando Godoy,316878,MF,2024,3,31
Oscar Benitez,317740,"FW,MF",2021,1,22
Emanuel Insua,317775,DF,2024,4,107
Guido Herrera,322966,GK,2024,4,146
Fabio Vazquez,323358,MF,2021,1,37
Ricardo Centurion,323385,MF,2023,2,49
Federico Jourdan,323750,MF,2023,1,8
Fernando Zuqui,324723,MF,2024,4,111
Juan Daniel Galeano,336492,MF,2021,1,24
Mauricio Cuero,346379,"MF,FW",2023,3,34
Axel Werner,356438,GK,2024,2,11
Juan Cazares,357120,"MF,FW",2023,2,29
Alejandro Donatti,357493,DF,2023,2,33
Claudio Riano,359472,FW,2022,2,17
Lucas Janson,360797,"FW,MF",2022,1,138
Federico Lanzillotta,361077,GK,2023,3,74
Franco Sbutoni,361691,DF,2023,3,55
Victor Malcorra,362229,MF,2024,4,121
Cristian Insaurralde,364208,FW,2021,1,7
Manuel Vicentini,369831,GK,2023,2,38
Fernando Andres Marquez,371544,FW,2021,1,17
Lucas Villalba,384587,"DF,MF",2023,3,108
Rodrigo Contreras,410434,FW,2022,2,71
Luciano Pons,412815,FW,2021,1,32
Nicolás Pasquini,414440,"DF,MF",2023,3,73
Marcelo Meli,414594,MF,2022,1,39
Juan Franco,416311,DF,2021,1,6
Gabriel Avalos,425711,FW,2024,4,138
Felipe Aguilar,425777,DF,2024,3,38
Leonel Di Placido,426353,DF,2023,3,32
Leonel Ariel Miranda,426408,MF,2024,3,83
Wilder Cartagena,427216,MF,2021,1,11
Emanuel Britez,427614,DF,2022,2,52
Fabricio Angileri,427877,"DF,MF",2021,1,23
Matias Catalan,427912,DF,2024,3,89
Sebastian Palacios,432949,"FW,MF",2021,1,15
German Conti,438183,DF,2024,2,13
Federico Bravo,438615,"MF,DF",2021,1,21
Lucas Albertengo,438629,FW,2023,3,49
Jorge Pereyra Diaz,440104,FW,2021,1,7
Rodrigo Rey,443465,GK,2024,4,159
Tomas Martinez,444365,MF,2022,1,43
Agustin Basso,447095,DF,2024,1,2
Paulo Diaz,447556,DF,2024,4,112
Federico Andrada,450812,FW,2022,2,36
Julian Fernandez,453412,DF,2024,2,61
Lucas Diarte,453860,"DF,MF",2023,1,20
Andrés Mehring,454874,GK,2024,2,10
Pablo Vegetti,466164,FW,2023,1,27
Raul Loaiza,466222,MF,2024,4,114
Walter Montoya,467968,MF,2024,3,25
Nery Dominguez,467969,"DF,MF",2024,3,66
Enrique Triverio,468984,FW,2021,1,18
Ramiro Carrera,469007,MF,2024,3,108
Facundo Cardozo,469333,DF,2023,2,33
Ezequiel Cerutti,469593,"MF,FW",2024,4,82
Maximiliano Meza,469616,MF,2024,1,31
Ignacio Pussetto,470847,"FW,MF",2024,2,24
José Mauri,470868,MF,2024,2,15
Roger Martinez,479026,"FW,MF",2024,1,33
Gonzalo Piovi,479220,"DF,MF",2023,3,92
Nicolas Orsini,485378,FW,2024,4,86
Leonel Gonzalez,486121,DF,2023,3,57
Gaston Campi,489072,DF,2024,3,69
Federico Milo,490281,"DF,MF",2022,1,29
Nehuén Paz,490660,DF,2024,2,27
Lucas Acosta,492209,GK,2024,3,78
Nicolas Ferreyra,492750,DF,2022,2,56
Claudio Aquino,492796,MF,2024,1,54
Yonatthan Rak,495383,DF,2024,1,13
Gustavo Velazquez,497352,DF,2024,3,96
Ivan Ramirez,497399,DF,2023,2,39
Franco Leys,497597,MF,2022,2,61
Matias Ramirez,504322,"FW,MF",2024,4,87
Leandro Garate,507948,"FW,MF",2024,1,27
Elias Gomez,509189,"MF,DF",2024,4,117
Adrian Balboa,514296,FW,2024,1,39
Rodrigo Echeverria,517555,MF,2024,1,50
Renzo Lopez,520530,FW,2022,1,37
Yonathan Cabral,521211,DF,2024,4,110
Alexis Perez,521252,DF,2021,1,11
Junior Arias,521334,FW,2022,2,49
Pablo Galdames,522083,MF,2021,1,11
Emanuel Mammana,523417,DF,2024,3,65
Victor Cabrera,523418,DF,2024,3,62
Lucas Suarez,528063,DF,2024,4,84
Rafael Barrios,529092,"DF,MF",2024,1,20
Gabriel Carabajal,529100,"MF,FW",2024,3,71
Favio Alvarez,529104,MF,2024,2,22
Gaston Suso,529109,DF,2024,4,126
Fabian Noguera,529208,DF,2022,2,68
Ezequiel Ham,529351,MF,2024,1,56
Nahuel Losada,529372,GK,2024,2,74
Juan Komar,529624,DF,2024,4,82
Nicolas Oroz,543304,"MF,FW",2024,3,76
Facundo Castro,543305,DF,2023,2,25
Franco Cristaldo,543317,MF,2022,2,79
Luis Abram,547740,DF,2021,1,12
Lucas Colitto,554051,MF,2023,1,15
Cristian Chimino,560947,DF,2022,1,48
Gaspar Servio,560951,GK,2023,2,40
Dante Campisi,561036,GK,2024,3,22
Jorge Figal,561037,DF,2024,3,71
Nestor Breitenbruch,561038,DF,2024,4,104
Guillermo Pereira,561041,MF,2024,4,39
Juan Martin Lucero,561043,FW,2021,1,25
Jose Devecchi,561146,GK,2023,3,105
Rolando Garcia,561195,DF,2021,1,29
Marcelino Moreno,561737,"MF,FW",2024,1,39
Lucas Passerini,564614,FW,2024,2,25
Marcelo Benitez,564865,DF,2023,3,77
Nelson Acevedo,564871,MF,2022,2,68
Ezequiel Bonifacio,566259,DF,2024,3,26
Walter Bou,566260,"MF,FW",2024,4,129
Cristian Bernardi,571447,"MF,FW",2022,2,69
Facundo Castelli,571457,FW,2023,1,22
Cristian Pavon,571461,"FW,MF",2021,1,21
Guillermo Benitez,571609,DF,2024,3,64
Esteban Burgos,576036,DF,2024,1,17
Matias Orihuela,577674,DF,2024,4,104
Leandro Contin,581174,FW,2024,4,40
Matias de los Santos,582008,DF,2024,3,70
Gabriel Alanis,586720,"MF,DF",2024,4,124
Ramon Abila,589900,FW,2024,3,98
Joaquin Susvielles,591548,FW,2023,1,10
Agustin Fontana,592919,FW,2024,4,39
Angel Gonzalez,600102,MF,2022,2,52
David Barbona,609985,MF,2024,2,32
Maximiliano Romero,613299,"DF,MF",2021,1,101
Mauricio Martinez,615788,"MF,DF",2024,2,60
Jonathan Galvan,615932,DF,2024,4,110
Braian Romero,615987,FW,2024,3,99
Nicolas Tripichio,616153,"DF,MF",2024,4,116
Tomas Cardona,616168,"DF,MF",2023,3,39
Carlos Valenzuela,616341,MF,2022,1,34
Gaston Gomez,616344,GK,2024,4,72
Alexis Pedro Canelo,616400,"FW,MF",2024,2,23
Federico Fattori,616508,MF,2024,3,93
Agustin Rossi,616528,GK,2022,2,63
Franco Soldano,617247,FW,2023,2,79
Rodrigo Aliendro,618716,MF,2024,4,122
Rodrigo Bogarin,618807,MF,2024,2,50
Ezequiel Unsain,618946,GK,2023,3,100
Nicolas Castro,620528,DF,2024,1,203
Guillermo Acosta,620541,MF,2024,4,148
Augusto Batalla,621415,GK,2023,2,54
Joaquin Laso,622269,DF,2024,4,98
Matias Rojas,623641,MF,2023,3,70
Gustavo Canto,623787,DF,2024,4,86
Jonathan Herrera,623898,FW,2024,3,92
Alexis Castro,623986,MF,2023,3,109
Eric Ramirez,624411,"MF,FW",2024,4,141
Juan Manuel Garcia,626154,"FW,MF",2024,4,108
Andres Roa,627218,"MF,FW",2024,3,70
Leonardo Godoy,630500,"DF,MF",2023,3,102
Nicolas Delgadillo,636699,MF,2022,2,45
Facundo Altamirano,636982,GK,2024,4,70
Brian Mansilla,638772,"FW,MF",2022,2,34
Juan Manuel Vazquez,639679,MF,2024,2,22
Eric Remedi,642763,MF,2024,2,45
Thiago Cardozo,643566,GK,2024,1,26
Marcelo Saracchi,643577,DF,2024,2,15
Joel Sonora,643612,MF,2024,3,29
Nicolas Silva,645836,"FW,MF",2021,1,24
Ivan Rossi,647229,MF,2023,1,26
Mauro Pitton,647245,MF,2024,4,143
Fernando Alarcon,647928,DF,2024,2,75
Ijiel Protti,647929,MF,2023,2,40
Jalil Elias,647992,MF,2024,4,110
Francisco Grahl,648159,FW,2021,1,47
Horacio Tijanovich,655751,MF,2023,3,44
Ronaldo Martinez,659738,"MF,FW",2024,2,74
Carlo Lattanzio,659843,"MF,FW",2022,2,23
Matias Romero,660079,MF,2023,3,91
Jonathan Torres,662089,FW,2024,3,107
Ramiro Gonzalez,662545,FW,2024,1,4
Alejandro Medina,670312,GK,2023,3,96
Milton Gimenez,670344,FW,2024,3,105
Oscar Piris,673726,DF,2024,1,54
Bruno Pitton,673769,"DF,MF",2024,3,72
Michael Santos,675102,"FW,MF",2024,4,94
Guillermo Fratta,675535,DF,2022,1,9
Axel Rodriguez,678458,FW,2023,2,37
Andres Vombergar,681608,FW,2024,3,54
Fabian Henriquez,683137,"MF,FW",2022,2,16
Esteban Rolon,683535,"MF,DF",2024,4,85
Braian Rivero,683901,DF,2024,4,77
Ramiro Macagno,684778,GK,2024,4,86
Gonzalo Montiel,687008,"DF,MF",2021,1,8
Jorge Morel,688291,MF,2022,2,51
Tomas Conechny,688827,"MF,FW",2024,2,53
Santiago Rodriguez,690398,"FW,MF",2024,2,73
Leonel Mosevich,690435,DF,2023,3,51
Alexis Soto,693430,DF,2021,1,136
Brian Blasi,693432,DF,2023,3,53
Augusto Lotti,693593,FW,2024,3,116
Tomas Pochettino,693601,"MF,FW",2022,1,10
Agustin Sant'Anna,704019,DF,2024,2,27
Facundo Cambeses,723492,GK,2024,4,80
Facundo Cobos,723495,"DF,MF",2022,2,55
Lautaro Geminiani,723519,DF,2022,2,35
Cristian Alberto Tarragona,723668,FW,2024,4,125
Domingo Blanco,723671,MF,2021,1,44
Agustin Bouzat,723682,MF,2024,3,86
Saul Salcedo,724317,DF,2024,1,20
Damian Batallini,724453,"MF,FW",2024,2,62
Alejandro Rébola,724457,DF,2024,2,62
Santiago Ascacibar,724854,MF,2024,2,70
Matias Di Benedetto,725300,DF,2022,1,14
Luciano Gomez,725483,"MF,DF",2024,4,69
Marcelo Ortiz,725579,DF,2023,3,63
Hector Fertoli,725782,MF,2024,4,102
Franco Troyansky,726261,"FW,MF",2024,3,79
Ignacio Ramirez,727095,FW,2024,1,39
Facundo Mallo,727099,DF,2024,2,71
Kevin Mac Allister,728290,DF,2023,3,85
Tomas Molina,728323,"FW,MF",2024,1,31
Lucas Merolla,729085,MF,2023,2,101
Blas Riveros,729090,DF,2024,1,16
Maximiliano Salas,730647,FW,2023,1,40
Lautaro Montoya,731400,DF,2023,3,58
Diego Garcia,738100,"FW,MF",2022,1,13
Nicolas Servetto,740796,FW,2024,2,47
Bruno Sepulveda,741669,FW,2024,4,127
Nicolas Benegas,742643,FW,2024,1,31
Adrian Sporle,743009,DF,2024,2,61
Alexis Maldonado,743052,DF,2024,2,50
Jhonatan Candia,745206,"FW,MF",2024,4,100
Julian Chicco,746607,MF,2023,3,57
Maximiliano Lovera,747221,MF,2024,2,64
Gonzalo Escobar,751010,MF,2021,1,11
Francis Mac Allister,751057,MF,2024,4,83
Gonzalo Maroni,751138,MF,2024,3,85
Nicolás de la Cruz,751198,"MF,FW",2023,3,80
Gabriel Gudino,751219,MF,2024,4,94
Nicolas Sansotre,752875,DF,2024,1,34
Leandro Maciel,753077,MF,2023,3,101
Gabriel Compagnucci,754685,DF,2024,3,54
Jonathan Bay,760273,"DF,MF",2024,4,121
Ivan Gomez,770895,MF,2024,4,118
Diego Valoyes,783809,MF,2023,3,79
Jorge Carrascal,784834,GK,2023,1,51
Fernando Romero,787218,FW,2024,1,33
Juan Andrada,787257,MF,2024,4,49
Matias Tagliamonte,787283,GK,2024,3,16
Enzo Copetti,787284,"FW,MF",2024,3,100
Norberto Briasco,788656,"FW,MF",2024,4,59
Franco Negri,789046,DF,2022,2,53
Ezequiel Barco,789068,"MF,FW",2024,3,103
Alexis Sosa,792757,DF,2021,1,6
Alexis Dominguez,793285,FW,2024,4,71
Renzo Tesuri,793800,MF,2024,4,136
Nicolas Reniero,793872,"FW,MF",2023,3,85
Fernando Juarez,794311,MF,2024,2,53
Agustin Cardozo,795163,MF,2024,3,111
Milton Álvarez,795422,GK,2022,1,17
Leonardo Morales,795485,DF,2021,1,152
Leonardo Sequeira,795724,"MF,FW",2021,1,21
Ian Escobar,795958,DF,2021,1,33
Manuel Castro,796720,"MF,FW",2022,2,86
Santiago Cáseres,797927,MF,2024,3,55
Fabricio Bustos,798148,DF,2024,2,51
Juan Pintado,799678,MF,2024,2,59
Carlos Benavidez,799914,MF,2022,1,12
Matias Pardo,801507,MF,2022,2,25
Mauro Ortiz,801513,FW,2024,3,20
Cristian Vega,801725,MF,2024,3,67
Javier Iritier,805414,MF,2022,2,12
Nicolas Zalazar,805539,DF,2021,1,8
Gabriel Rojas,805540,MF,2024,2,113
Angelo Martino,805592,"MF,DF",2024,4,116
Ivan Villalba,805771,DF,2024,1,20
Djorkaeff Reasco,809537,"MF,FW",2023,2,42
Leonardo Heredia,809620,"MF,FW",2024,4,112
Marcelo Estigarribia,809766,FW,2024,3,87
Walter Mazzanti,812450,"MF,FW",2024,2,66
Manuel Capasso,816132,DF,2022,2,30
Martin Sarrafiore,816993,MF,2023,1,16
David Gallardo,818392,MF,2024,3,29
Lucas Blondel,823206,DF,2023,2,78
Sergio Quiroga,824068,MF,2024,4,109
Federico Vera,824090,"DF,MF",2024,4,157
Miguel Merentiel,826418,FW,2024,3,114
Matias Marin,828718,MF,2024,2,19
Nicolas Bazzana,830059,DF,2021,1,22
Agustin Rogel,830161,DF,2022,2,58
Joaquin Pereyra,831541,MF,2024,4,112
Gaston Togni,832164,DF,2023,3,103
Alan Franco,832171,MF,2023,2,34
Matias Tissera,832836,FW,2021,1,21
Ignacio Chicco,833271,MF,2022,2,78
Jesus Soraire,833682,MF,2024,4,119
Jaminton Campaz,837870,MF,2024,2,68
Luciano Pizzaro,838067,MF,2021,1,7
Blas Armoa,839634,"MF,FW",2024,3,91
Sebastian Prieto,841913,DF,2024,3,87
Guido Mainero,841947,"MF,FW",2024,4,86
Luis Ingolotti,844389,GK,2024,2,35
Facundo Garces,845067,DF,2023,3,116
