player_name,id,Pos,last_season,seasons_played,matches_played
Franco Pardo,845263,DF,2024,1,44
Adam Bareiro,845370,FW,2024,3,97
Nicolas Sosa,845944,MF,2024,1,31
Lucas Carrizo,846916,FW,2021,1,150
Robert Rojas,846980,DF,2023,2,54
Maximiliano Rodriguez,847288,DF,2024,3,25
Franco Petroli,847978,GK,2024,1,38
Manuel Roffo,847982,GK,2024,3,81
Tomas Belmonte,847984,MF,2024,4,92
Santiago Mele,848027,GK,2023,2,114
Juan Alvarez,848153,"MF,FW",2024,4,122
Gustavo Del Prete,848182,"FW,MF",2022,2,36
Brian Sanchez,848187,MF,2024,1,23
Federico Rasmussen,848620,DF,2024,4,107
Alexis Rodrigues,850151,"MF,FW",2021,1,10
Carlos Arce,850731,MF,2024,3,72
Raul Lozano,856411,DF,2023,3,78
Fernando Torrent,856814,"MF,DF",2024,4,26
Jonathan Goya,857214,MF,2024,1,11
Sebastián Villa,859319,FW,2024,4,106
Gabriel Neves,859754,MF,2024,1,30
Nahuel Tenaglia,860314,DF,2021,1,36
Santiago Rojas,860888,GK,2023,1,20
Fernando Cardozo,860962,"MF,DF",2024,1,15
Rodrigo Fernandez,861785,MF,2024,1,28
Rodrigo Holgado,862170,"FW,MF",2021,1,12
Luciano Sanchez,862337,"MF,DF",2023,2,40
Thomas Galdames,864271,"DF,MF",2024,2,43
Benjamin Garre,872965,MF,2022,2,37
Emanuel Coronel,874620,DF,2024,4,126
Martin Payero,874621,"MF,FW",2023,2,34
Nicolas Linares,874622,MF,2023,3,72
Tomas Durso,874631,GK,2024,3,69
Harrinson Mancilla,874664,MF,2023,3,49
Juan Espinola,875078,GK,2024,3,65
Agustin Bolivar,875743,MF,2024,2,33
Tomas Chancalay,876274,"MF,FW",2022,2,64
Braian Galvan,876275,MF,2024,1,26
Agustin Palavecino,879858,"MF,FW",2024,4,104
Franco Moyano,881159,FW,2021,1,113
Lucas Vera,881995,MF,2022,2,22
Jonas Acevedo,882460,"MF,FW",2024,4,110
Adrian Martinez,882933,FW,2024,2,73
Junior Marabel,883281,FW,2023,2,31
Edgar Elizalde,883695,DF,2023,2,30
Tomas Marchiori,886331,GK,2024,3,89
Alan Rodriguez,887142,"MF,FW",2024,3,125
Brahian Cuello,889715,MF,2024,3,78
Fabio Pereyra,889736,DF,2024,3,105
Maximiliano Comba,890242,"MF,FW",2023,2,29
Cristian Ferreira,892175,"MF,FW",2024,4,85
Luciano Herrera,892643,"MF,FW",2024,1,37
Anibal Leguizamon,892840,DF,2024,1,14
Hernan De La Fuente,900404,DF,2024,2,61
Francisco Ortega,902969,DF,2023,3,89
Yonatan Goitia,902983,"MF,DF",2024,1,39
Mateo Retegui,905546,FW,2023,3,99
Sergio Barreto,907723,DF,2023,3,87
Alejandro Maciel,907957,DF,2024,4,121
Luciano Leonel Recalde,917569,DF,2024,2,19
Gaston Lodico,917619,MF,2024,3,112
Guillermo Soto,917976,DF,2023,2,43
Alejo Antilef,918481,"MF,FW",2022,2,48
Jeronimo Cacciabue,918492,MF,2024,3,64
Cristian Nunez,918511,MF,2024,3,66
Nicolas Thaller,918614,DF,2022,2,18
Gaston Veron,918846,"FW,MF",2024,3,96
Matias Melluso,919156,DF,2023,3,62
Francisco Alvarez,920404,DF,2024,3,94
Lautaro Chavez,921347,MF,2024,3,17
Giuliano Galoppo,921603,MF,2022,2,54
Franco Quinteros,921606,DF,2023,3,58
Matias Coccaro,921749,FW,2023,3,94
Jorman Campuzano,922875,"MF,DF",2024,3,60
Dario Caceres,922919,DF,2024,2,22
Tomas Badaloni,923598,FW,2024,4,104
Edwin Cetre,924959,"MF,FW",2024,1,32
Nicolas Demartini,925286,DF,2024,1,45
Christian Oliva,925841,MF,2023,2,34
Juan Cozzani,926330,GK,2024,1,40
Alejandro Cabrera,930564,DF,2023,3,64
Sebastian Corda,930573,DF,2023,1,24
Franz Gonzales,931555,MF,2022,1,11
Agustin Almendra,935060,"MF,FW",2024,2,68
Valentin Burgoa,936100,"MF,FW",2024,4,91
Malcom Braida,938003,"MF,FW",2024,4,130
Julian Navas,938030,DF,2023,3,41
Ramiro Ruiz,939335,"FW,MF",2024,4,116
Gonzalo Goni,939404,DF,2024,4,107
Martin Garay,939965,"DF,MF",2024,4,121
Juan Rodriguez,940819,DF,2024,4,77
Juan Infante,941538,DF,2024,4,110
Williams Alarcon,941949,MF,2024,1,49
Lucas Abascia,942984,DF,2024,1,19
Ivan Tapia,944446,"MF,FW",2024,3,105
Facundo Colidio,949735,"MF,FW",2024,3,110
Adonis Frias,950270,DF,2022,2,66
Nicolas Fonseca,950599,MF,2024,1,11
Emanuel Iniguez,952901,DF,2022,2,46
Matias Pellegrini,954660,"MF,FW",2024,3,59
Nelson Insfran,955209,GK,2024,2,15
German Guiffrey,955211,DF,2023,3,49
Thiago Almada,955271,MF,2021,1,32
Gianluca Ferrari,955274,DF,2024,4,82
Fabricio Dominguez,955333,"MF,DF",2023,3,51
Walter Perez,955695,DF,2022,2,19
Federico Gattoni,956291,DF,2024,4,78
Elias Pereyra,957219,"DF,MF",2024,2,20
Santiago Sosa,958860,DF,2022,2,80
Nicolas Morgantini,961717,DF,2024,4,80
Pedro De la Vega,962665,FW,2023,3,70
Alexander Diaz,962674,"FW,MF",2024,3,63
Marcelo Herrera,965091,"DF,MF",2023,3,95
Willer Ditta,965205,DF,2023,2,53
Facundo Pons,971268,FW,2023,1,16
Facundo Suarez,971269,FW,2024,1,39
Ezequiel Centurion,971901,GK,2024,3,27
Ezequiel Bullaude,972098,"MF,FW",2022,2,78
Manuel Insaurralde,972814,MF,2023,3,38
Julián Álvarez,974753,"FW,MF",2022,2,52
Lucas Beltran,974755,FW,2023,3,82
Marcelo Weigandt,974894,DF,2023,3,55
Nicolás Fernández,976705,"FW,MF",2024,4,243
Ibrahim Hesar,977824,MF,2023,1,16
Guillermo May,979800,FW,2024,2,21
Federico Navarro,980062,MF,2021,1,11
Fausto Vera,981070,MF,2022,2,24
Matko Miljevic,981079,MF,2024,1,18
Luca Orellano,988833,MF,2022,2,72
Alexis Cuello,989370,"MF,FW",2024,1,38
Agustin Urzi,989371,MF,2024,4,85
Federico Girotti,994916,MF,2022,2,128
Jose Paradela,994917,MF,2023,3,79
Facundo Almada,995062,DF,2022,2,56
Justo Giani,1003370,"FW,MF",2024,4,94
Alex Vigo,1017707,"DF,MF",2024,3,62
Nicolas Capaldo,1018564,"DF,MF",2021,1,12
Nicolas Cordero,1020747,"FW,MF",2024,4,82
Carlos Villalba,1020944,MF,2024,2,53
Antony Alonso,1021588,FW,2024,1,16
Anibal Moreno,1025557,MF,2023,3,94
Fernando Martinez,1028209,DF,2024,3,52
Rodrigo Villagra,1028443,MF,2024,4,132
Facundo Mura,1029392,FW,2024,1,126
Pablo Arganaraz,1030963,DF,2023,1,45
Federico Andueza,1031998,DF,2024,3,58
Ignacio Vazquez,1033115,DF,2024,2,73
Cristhian Ocampos,1033282,FW,2024,2,12
Thiago Nuss,1033314,MF,2024,3,66
Mauro Luna Diale,1034344,"FW,MF",2024,4,108
Facundo Rodriguez,1035138,DF,2024,1,18
Agustin Obando,1037265,"MF,FW",2024,4,25
Maximilliano Centurion,1037529,DF,2023,1,22
Santiago Pierotti,1039403,MF,2023,3,92
Franco Calderon,1039685,DF,2023,3,101
Imanol Machuca,1039686,"MF,FW",2023,3,76
Gaston Gonzalez,1039687,"MF,FW",2021,1,47
Alan Barrionuevo,1041082,DF,2024,2,43
Matias Godoy,1042007,"MF,FW",2024,3,84
Alan Marinelli,1042044,"FW,MF",2022,2,67
Francisco Gonzalez,1042571,MF,2024,4,202
Lucas Arce,1045037,DF,2024,2,78
Luciano Boggio,1047589,MF,2024,3,79
Miguel Navarro,1048053,DF,2024,1,30
Alan Velasco,1053392,MF,2021,1,35
Johan Carbonero,1053727,"MF,FW",2024,4,99
Martin Fernandez,1053835,MF,2024,1,15
Mauro Mendez,1054259,FW,2024,3,56
Juan Cuesta,1070203,FW,2023,2,25
Benjamin Rollheiser,1073365,"FW,MF",2023,3,82
Santiago Ramos,1073724,GK,2023,1,2
Alan Sonora,1074074,MF,2024,2,93
Lautaro Morales,1074828,GK,2024,4,63
Nazareno Colombo,1074976,DF,2024,4,112
Miguel Brizuela,1075045,DF,2024,4,87
Maximiliano Gagliardo,1075292,GK,2022,1,8
Franco Ibarra,1075405,MF,2024,1,21
Agustin Martegani,1075450,MF,2024,4,63
Oscar Salomon,1082758,DF,2024,3,48
Augustin Lagos,1083898,"DF,MF",2024,3,22
Mateo Bajamich,1085213,"FW,MF",2024,1,49
Facundo Perez,1085977,FW,2024,1,75
Sebastian Valdez,1086733,DF,2024,2,50
Diego Ortegoza,1086839,MF,2024,3,77
Damian Fernandez,1087551,DF,2024,4,14
Juan Nardoni,1087773,MF,2024,4,118
Lucas Gonzalez,1088057,MF,2024,3,90
Valentin Depietri,1088084,"MF,FW",2024,2,49
Gonzalo Paz,1090320,DF,2022,1,54
Armando Mendez,1093699,"DF,MF",2024,3,90
Rodrigo Garro,1093746,DF,2024,2,90
Brian Farioli,1094295,MF,2023,3,79
Rodrigo Cabral,1095186,"FW,MF",2024,4,109
Facundo Mater,1095779,MF,2024,4,104
Marcos Iacobellis,1097396,"MF,FW",2024,1,24
Leonel Picco,1097836,MF,2024,4,118
Matias Miranda,1097860,MF,2024,3,49
Giuliano Cerato,1098253,DF,2024,2,38
Nahuel Banegas,1098367,DF,2024,3,27
Alan Cantero,1098460,FW,2024,3,61
Alexandro Bernabei,1104156,DF,2022,2,44
Bryan Reyna,1104977,"FW,MF",2024,1,27
Juan Miritello,1107747,FW,2024,2,35
Facundo Farias,1108622,"FW,MF",2023,3,70
Francesco Lo Celso,1108679,"MF,FW",2024,3,34
Daniel Juarez,1109029,MF,2024,4,30
Francisco Flores,1109036,DF,2024,3,52
Franco Orozco,1109039,MF,2023,3,52
Exequiel Zeballos,1110044,FW,2024,4,44
Luis Sequeira,1110613,MF,2024,4,28
Julián Palacios,1110614,MF,2022,2,30
Nicolas Capraro,1111071,DF,2024,2,69
Joaquin Indacoechea,1114918,"DF,MF",2021,1,11
Patricio Boolsen,1116948,DF,2022,1,14
Matias Esquivel,1117950,MF,2024,4,103
David Ayala,1118540,MF,2021,1,11
Braian Martinez,1127325,MF,2023,3,78
Francisco Gerometta,1128483,DF,2024,4,86
Bruno Barticciotto,1128929,"MF,FW",2024,1,22
Juan Manuel Cruz,1128951,"MF,FW",2022,1,14
Lautaro Tomas Escalante,1128952,DF,2023,3,34
Favio Cabral,1128955,FW,2024,1,14
Tiago Banega,1128964,MF,2024,4,57
Carlos Alcaraz,1128965,"MF,FW",2022,2,57
Jose Florentin,1129078,MF,2024,3,68
Matias Perez,1130624,DF,2022,2,52
Gaston Avilla,1130630,"DF,MF",2022,2,31
Carlos Arrua,1130765,MF,2023,1,19
Yvo Calleros,1130865,MF,2024,2,22
Santiago Hezze,1131349,MF,2023,3,94
Santiago Longo,1132245,MF,2024,2,64
Thomas Ortega,1132405,DF,2021,1,27
Braian Salvareschi,1132906,DF,2024,4,54
Ramon Sosa,1132960,"MF,FW",2024,3,87
Gaston Martirena,1133119,"MF,DF",2024,1,36
Jhohan Romana,1133142,DF,2024,1,38
Juan Caceres,1133495,DF,2024,4,95
Rodrigo Insua,1134305,"DF,MF",2024,2,67
Juan Saborido,1135677,DF,2024,1,23
Cristian Zabala,1135817,MF,2023,2,70
Alexis Sabella,1137114,"MF,FW",2023,3,46
Mariano Peralta,1137210,FW,2023,3,44
Kevin Andrade,1137457,DF,2022,1,9
Edwin Mosquera,1137458,MF,2022,1,13
Franco Paredes,1137661,"DF,MF",2024,2,60
Piero Hincapié,1137667,DF,2021,1,13
Enzo Fernández,1137705,MF,2022,2,50
Dixon Renteria,1138690,DF,2021,1,10
Gaston Hernandez,1144961,DF,2023,2,67
Salomon Rodriguez,1180919,FW,2024,3,111
Alan Varela,1186684,MF,2023,3,74
Pablo Gerzel,1190856,"MF,FW",2021,1,11
Cristopher Fiermarin,1195101,GK,2024,2,20
Gonzalo Perez,1195812,MF,2024,1,20
Felipe Zenobio,1198479,GK,2024,1,25
Cristian Medina,1199960,MF,2024,4,117
Lautaro Blanco,1200014,DF,2024,3,104
Luciano Ferreyra,1200015,DF,2024,1,87
Gino Infantino,1200022,MF,2023,3,66
Ignacio Russo,1200023,FW,2024,1,47
Facundo Sanguinetti,1200037,GK,2024,2,27
Matias Gonzalez,1200040,MF,2024,2,53
Julian Aude,1200661,MF,2023,3,37
Pedro Ramirez,1200663,"DF,MF",2024,1,34
Lucas Besozzi,1200664,MF,2024,3,48
Braian Aguirre,1200667,DF,2024,4,108
Florian Monzon,1200720,FW,2024,2,35
Juan Sforza,1200743,MF,2023,3,92
Brian Aguirre,1200746,DF,2023,2,87
Augusto Schott,1200762,DF,2024,4,85
Siro Rosane,1200765,MF,2024,4,85
Brian Nievas,1200776,MF,2021,1,22
Lucas Esquivel,1201038,"MF,DF",2023,3,43
Kevin Zenon,1201039,"FW,MF",2024,4,128
Abel Bustos,1201079,MF,2022,2,10
Pablo Solari,1201406,"FW,MF",2024,3,81
Brian Calderara,1201407,"DF,MF",2024,3,75
Julian Malatini,1201408,DF,2023,3,64
Ramiro Sordo,1201409,"MF,FW",2023,3,82
Bautista Kociubinski,1201582,MF,2024,4,50
Gian Nardelli,1201766,DF,2024,3,64
Stefano Moreyra,1201767,MF,2024,3,13
Eric Meza,1201768,"DF,MF",2024,4,119
Ignacio Gariglio,1201809,DF,2023,3,43
Facundo Kruspzky,1201810,MF,2022,2,53
Juan Portillo,1201814,"MF,DF",2024,4,130
Lucas Brochero,1201884,MF,2024,4,115
Juan Guasone,1203234,FW,2022,1,36
Franco Romero,1203838,MF,2024,2,29
Facundo Mansilla Zahir,1205837,DF,2023,3,44
Fernando Román,1206543,DF,2022,2,20
Kevin Lomonaco,1206583,DF,2024,2,34
Fernando Prado,1206631,DF,2023,3,24
Tomas Castro,1206665,MF,2023,1,39
Ignacio Miramon,1206830,MF,2024,3,37
Santiago Simon,1208803,"MF,FW",2024,4,97
Cristian Torres,1209065,MF,2021,1,57
Sebastian Meza,1209083,GK,2024,3,63
Tomas Pozzo,1209106,MF,2024,4,62
Marco Di Cesare,1209398,DF,2024,4,61
Alexander Sosa,1211565,FW,2022,1,22
Vicente Poggi,1211623,MF,2024,1,36
Nicolas Garayalde,1212145,MF,2024,4,76
Rodrigo Herrera,1213003,MF,2024,2,64
Agustin Mulet,1213457,MF,2023,3,17
Juan Barinaga,1213652,MF,2024,3,82
Benjamin Borasi,1213657,MF,2021,1,9
Ayrton Costa,1213769,DF,2023,3,70
Ignacio Schor,1214017,MF,2024,4,104
Gaston Benedetti,1214100,"MF,DF",2024,2,59
Diego Calcaterra,1215717,"MF,DF",2024,4,29
Ivo Mammini,1215721,FW,2023,1,35
Luis Vazquez,1215735,FW,2023,3,76
Lucas Varaldo,1216071,FW,2024,3,33
Jose Lopez,1216079,FW,2021,1,45
Ezequiel Cannavo,1216082,"DF,MF",2024,1,18
Lucas Souto,1216361,DF,2024,3,69
Silvio Ulariaga,1216428,FW,2024,1,10
Agustin Sandez,1218334,DF,2024,4,73
Juan Gauto,1218336,MF,2023,2,34
Joaquin Pombo,1219709,DF,2023,2,43
Ulises Sanchez,1219978,MF,2023,1,52
Laurtaro Giaccone,1220657,MF,2024,3,48
Mateo Tanlongo,1220673,MF,2022,2,24
Bautista Barros Schelotto,1221037,DF,2024,2,31
Ignacio Maestro Puch,1221231,MF,2024,3,23
Franco Frias,1222245,"FW,MF",2023,2,25
Mateo Pellegrino,1224237,FW,2024,4,70
Bryan Castrillon,1225452,"MF,FW",2023,2,35
Martin Garcia,1225460,DF,2021,1,30
Luciano Gimenez,1226851,"FW,MF",2024,1,14
Franco Baldassarra,1228220,MF,2024,4,86
Dylan Glaby,1228819,MF,2022,1,31
Ramiro Enrique,1230315,FW,2022,2,65
Nicolas Romero,1230353,DF,2024,4,77
Gonzalo Abrego,1230664,MF,2024,4,120
Pablo Minissale,1231125,DF,2024,4,23
Julian Brea,1231181,FW,2022,2,40
Tiago Palacios,1231195,MF,2024,2,47
Antonio Napolitano,1231926,MF,2024,3,14
Sasha Marcich,1232257,"DF,MF",2024,2,73
Luciano Gondou,1232258,FW,2024,4,110
Joaquin Gho,1232259,MF,2024,3,54
Lenny Lobato,1232260,MF,2024,3,19
Maximiliano Rogoski,1233428,MF,2021,1,7
Marco Pellegrino,1237690,DF,2024,2,24
Manuel Garcia,1238746,MF,2024,4,73
Roman Vega,1240172,DF,2024,2,40
Ramiro Di Luciano,1241612,DF,2024,1,14
Lautaro Rios,1241613,"MF,FW",2021,1,65
Enzo Larrosa,1241614,FW,2023,2,31
Tobias Ostchega,1242173,DF,2024,1,35
Aaron Quiroz,1244341,DF,2024,3,66
Ignacio Rodriguez,1244348,DF,2024,4,80
Oscar Garrido,1246234,"MF,FW",2024,1,10
Martin Luciano,1246289,DF,2024,3,47
Santiago Coronel,1248005,MF,2024,1,8
Alejandro Martinez,1248060,MF,2024,3,87
Juan Esquivel,1248446,MF,2024,3,64
Eros Mancuso,1249664,"DF,MF",2024,2,22
Nicolas Valentini,1249665,DF,2023,2,72
Gonzalo Muscia,1250543,MF,2023,2,36
Alejo Veliz,1250658,FW,2023,3,53
Federico Paradela,1252646,MF,2024,3,21
Tomas Galvan,1256242,MF,2024,4,96
Gonzalo Lujan,1257342,DF,2024,3,21
Guillermo Balzi,1258603,MF,2024,4,34
Franco Diaz,1265160,MF,2024,3,67
Martin Ortega,1266877,MF,2022,1,53
Bruno Zapelli,1269982,MF,2023,1,24
Sebastian Medina,1270044,MF,2024,3,67
Matias Reali,1271801,"MF,FW",2024,1,33
Valentin Barco,1272440,"MF,FW",2023,1,9
Matias Mansilla,1273509,GK,2024,4,80
Franco Zapiola,1276036,MF,2024,1,96
Rufino Lucero,1276384,DF,2024,2,16
Matias Galarza,1277340,MF,2024,3,77
Federico Redondo,1277343,MF,2023,2,49
Vicente Taborda,1280328,"MF,FW",2024,4,67
Simon Rivero,1280335,MF,2024,2,25
Nicolás Palavecino,1280806,MF,2024,3,19
Juan Camilo Portilla,1281230,MF,2024,1,38
Santiago Castro,1282008,FW,2023,3,61
Facundo Altamira,1288591,MF,2024,3,35
Gonzalo Flores,1295031,FW,2024,3,13
Juan Fedorco,1299451,DF,2024,1,17
Nicolas Meriano,1299928,FW,2022,1,47
Emiliano Viveros,1304246,MF,2024,4,44
Alfredo Amarilla,1305063,MF,2024,2,16
Yonathan Rodriguez,1306107,MF,2024,1,23
Tomas Jacob,1308412,DF,2024,3,29
Guillermo Enrique,1312034,DF,2024,4,73
Gonzalo Rios,1314171,DF,2023,3,39
Alex Luna,1314218,"MF,FW",2024,1,29
Santiago Nunez,1315102,DF,2023,2,32
Ivan Leguizamon,1315121,"MF,FW",2024,3,100
Moises Brandan,1315385,DF,2024,2,22
Benjamin Dominguez,1316088,MF,2024,4,80
Matias Morello,1317180,MF,2022,1,13
Marcos Portillo,1321686,MF,2024,4,61
Tadeo Allende,1330616,MF,2023,2,73
Alexis Manyoma,1332390,"MF,FW",2024,1,18
David Zalazar,1336106,MF,2024,3,59
Facundo Buonanotte,1336566,"MF,FW",2022,1,24
Kevin Ortiz,1336567,MF,2024,3,80
Maximo Perrone,1336582,MF,2022,1,15
Ezequiel Forclaz,1336583,MF,2024,3,25
Mateo Del Blanco,1336846,MF,2024,2,46
Mauro Peinipil,1336905,"DF,MF",2023,1,31
Rodrigo Castillo,1336919,FW,2024,2,36
Tomas Muro,1337212,MF,2023,2,25
Julian Fernandez,1338015,DF,2024,2,115
Valentin Gomez,1338016,DF,2024,3,90
Mateo Sanabria,1338045,FW,2024,3,33
Cesar Perez,1338317,MF,2024,1,16
Juan Bisanz,1339423,"MF,FW",2024,2,53
Nicolas Paz,1342537,DF,2024,2,57
Alan Lescano,1342579,MF,2024,3,72
Abiel Osorio,1343195,FW,2024,3,71
Felipe Loyola,1343374,"MF,DF",2024,1,18
Agustin Ojeda,1345326,MF,2023,2,11
Gabriel Diaz,1352729,"DF,MF",2024,2,67
Maico Quiroz,1352731,MF,2024,3,20
Rodrigo Saravia,1353738,GK,2022,1,32
Santiago Toloza,1354120,MF,2024,3,53
Flabian Londono,1354125,FW,2024,2,43
Kevin Mantilla,1357423,DF,2024,2,14
Santiago Solari,1357993,"MF,FW",2024,2,67
Agustin Giay,1358345,MF,2024,3,66
Julio Soler,1358655,DF,2024,3,46
Lautaro Pastran,1360311,"MF,FW",2024,2,16
Genaro Rossi,1360572,FW,2023,2,17
Jherson Mosquera,1362307,"DF,MF",2023,1,20
Santiago Hidalgo,1362516,FW,2024,3,28
Rodrigo Atencio,1362517,MF,2024,2,46
Gianluca Prestianni,1363660,FW,2023,2,28
Kevin Lopez,1364153,MF,2024,2,53
Gregorio Rodriguez,1366607,MF,2024,2,45
Manuel Monaco,1372337,MF,2024,2,52
Luca Langoni,1372430,FW,2024,3,52
Tomas O'Connor,1372669,MF,2024,2,25
Jose Herrera,1372718,"FW,MF",2024,3,63
Ian Glavinovich,1376793,DF,2024,2,19
Elian Irala,1378855,MF,2024,2,44
Tobias Cervera,1378924,FW,2024,2,22
Juan Peinipil,1382996,FW,2023,1,8
Franco Watson,1383667,"MF,FW",2024,2,29
Sergio Ortiz,1385885,MF,2023,2,22
Jonathan Beron,1393534,MF,2023,1,9
Christian Ordonez,1393542,MF,2024,2,66
Matias Abaldo,1398532,"FW,MF",2024,1,32
Elias Cabrera,1400295,MF,2024,3,42
Daniel Barrea,1401243,FW,2024,2,58
Maximiliano Zalazar,1402346,GK,2022,1,65
Gonzalo Morales,1408244,FW,2023,2,67
Franco Alfonso,1408581,MF,2024,2,25
Jabes Saralegui,1413189,MF,2024,2,16
Santiago Quiros,1433995,DF,2024,2,26
Francisco Petrasso,1435030,DF,2024,1,12
Kevin Vazquez,1435121,MF,2024,1,24
Felipe Sanchez,1436220,DF,2024,2,41
Jeronimo Domina,1436222,FW,2024,2,59
Tomas Aviles,1437200,"DF,MF",2023,1,15
Damian Puebla,1437366,MF,2024,2,42
Leandro Moreira,1441864,FW,2023,1,10
Joaquin Mosqueira,1451319,MF,2024,2,59
Gonzalo Requena,1453094,DF,2024,1,25
Thiago Fernandez,1460063,MF,2024,2,40
Mathias De Ritis,1478196,DF,2024,1,16
Santiago Lopez,1485158,FW,2024,2,17
Claudio Echeverri,1486264,MF,2024,2,33
Geronimo Rivera,1489242,MF,2024,2,50
Dylan Aquino,1499651,MF,2024,2,20
Tomas Perez,1508514,FW,2024,2,22
Tobias Rubio,1509081,DF,2024,2,16
Elias Baez,1513339,DF,2024,1,16
Javier Ruiz,1513420,"MF,FW",2024,1,15
Lautaro Vargas,1520065,DF,2024,2,32
Facundo Lencioni,1520154,MF,2024,2,26
Mariano Troilo,1520184,DF,2024,1,21
Geronimo Heredia,1523536,MF,2024,1,23
Manuel Guillen,1532179,DF,2024,2,17
Sheyko Studer,1559675,DF,2024,1,14
Giovani Chiaverano,1562427,FW,2024,2,11
Nicolas Dubersarsky,1585863,MF,2024,1,23
Matias Moreno,1605748,FW,2023,1,23
Pablo Monje,1605853,MF,2024,1,24
Elias Ocampo,1606614,"MF,DF",2024,1,9
Diego Tarzia,1607054,"FW,MF",2024,1,19
Franco Mastantuono,1607566,MF,2024,1,33
Thiago Santamaria,1607567,DF,2024,1,25
Ariel Gamarra,1613475,MF,2024,1,18
Juan Gimenez,1624887,DF,2024,1,17
Santiago Gonzalez,1630645,MF,2024,1,23
Juan Velazquez,1644112,MF,2024,1,27
Franco Minerva,1647815,MF,2024,1,13
Mateo Silvetti,1662026,MF,2024,1,20
